靡ㄩ絏,虏嘿,るら,Μ絃基(じ)
COID,Name,MDATE,CLOSE
0051   ,じい100  ,20190128,    23.1807
0052   ,碔üм     ,20190128,     5.6291
0053   ,じ筿     ,20190128,    26.2365
0050   ,じ芖50   ,20190129,    15.1128
1301   ,鹅         ,20190129,    76.0276
6505   ,鹅て       ,20190129,    90.0655
1326   ,て         ,20190129,    81.4981
1303   ,玭ㄈ         ,20190129,    56.2386
1216   ,参         ,20190129,    55.7868
2912   ,参禬       ,20190129,   257.3373
9907   ,参龟       ,20190129,     9.7256
2855   ,参靡       ,20190129,     7.4592
1232   ,参痲       ,20190129,    75.0265
2317   ,翬         ,20190129,    52.0293
2354   ,翬非         ,20190129,    46.8142
3413   ,ㄊ供         ,20190129,   103.4587
6451   ,癟-KY      ,20190129,    72.6913
2330   ,縩筿       ,20190129,   187.3621
3443   ,承種         ,20190129,   181.9761
5347   ,         ,20190129,    46.3556
3374   ,弘         ,20190129,    34.1789
1560   ,い         ,20190129,    45.7818
2303   ,羛筿         ,20190129,     8.2734
2329   ,地         ,20190129,    10.4146
2379   ,风琑         ,20190129,   116.8501
2363   ,参         ,20190129,     8.1509
2449   ,ㄊじ筿     ,20190129,    16.6840
2454   ,羛祇       ,20190129,   166.1991
2451   ,承ǎ         ,20190129,    42.6986
0051   ,じい100  ,20190129,    23.0148
0052   ,碔üм     ,20190129,     5.5208
0053   ,じ筿     ,20190129,    25.9044
0050   ,じ芖50   ,20190130,    15.0824
1301   ,鹅         ,20190130,    76.7804
6505   ,鹅て       ,20190130,    89.2354
1326   ,て         ,20190130,    81.8825
1303   ,玭ㄈ         ,20190130,    56.3125
1216   ,参         ,20190130,    55.3251
2912   ,参禬       ,20190130,   256.9390
9907   ,参龟       ,20190130,     9.7256
2855   ,参靡       ,20190130,     7.5161
1232   ,参痲       ,20190130,    75.2523
2317   ,翬         ,20190130,    52.1037
2354   ,翬非         ,20190130,    46.9729
3413   ,ㄊ供         ,20190130,   101.2575
6451   ,癟-KY      ,20190130,    72.0015
2330   ,縩筿       ,20190130,   186.0990
3443   ,承種         ,20190130,   178.3727
5347   ,         ,20190130,    47.9392
3374   ,弘         ,20190130,    34.6809
1560   ,い         ,20190130,    45.9421
2303   ,羛筿         ,20190130,     7.8252
2329   ,地         ,20190130,    10.3292
2379   ,风琑         ,20190130,   119.4062
2363   ,参         ,20190130,     8.0508
2449   ,ㄊじ筿     ,20190130,    16.6840
2454   ,羛祇       ,20190130,   164.5066
2451   ,承ǎ         ,20190130,    42.5702
0051   ,じい100  ,20190130,    23.1096
0052   ,碔üм     ,20190130,     5.5052
0053   ,じ筿     ,20190130,    25.7965
0050   ,じ芖50   ,20190211,    15.2447
1301   ,鹅         ,20190211,    75.2749
6505   ,鹅て       ,20190211,    88.4053
1326   ,て         ,20190211,    79.5760
1303   ,玭ㄈ         ,20190211,    54.9840
1216   ,参         ,20190211,    55.7868
2912   ,参禬       ,20190211,   253.3538
9907   ,参龟       ,20190211,     9.8004
2855   ,参靡       ,20190211,     7.5446
1232   ,参痲       ,20190211,    75.1018
2317   ,翬         ,20190211,    52.0293
2354   ,翬非         ,20190211,    47.2109
3413   ,ㄊ供         ,20190211,   104.1925
6451   ,癟-KY      ,20190211,    74.1572
2330   ,縩筿       ,20190211,   191.9936
3443   ,承種         ,20190211,   182.8770
5347   ,         ,20190211,    46.8595
3374   ,弘         ,20190211,    36.3237
1560   ,い         ,20190211,    45.6214
2303   ,羛筿         ,20190211,     7.4805
2329   ,地         ,20190211,    10.5853
2379   ,风琑         ,20190211,   119.4062
2363   ,参         ,20190211,     7.9598
2449   ,ㄊじ筿     ,20190211,    16.3976
2454   ,羛祇       ,20190211,   175.6768
2451   ,承ǎ         ,20190211,    43.0196
0051   ,じい100  ,20190211,    23.2597
0052   ,碔üм     ,20190211,     5.6459
0053   ,じ筿     ,20190211,    26.3611
0050   ,じ芖50   ,20190212,    15.3461
1301   ,鹅         ,20190212,    76.4040
6505   ,鹅て       ,20190212,    90.4806
1326   ,て         ,20190212,    80.3448
1303   ,玭ㄈ         ,20190212,    55.3530
1216   ,参         ,20190212,    56.8641
2912   ,参禬       ,20190212,   254.5488
9907   ,参龟       ,20190212,     9.8378
